episode_seed,policy,step,best_utility_so_far
41,bads,35,0.5850478497223558
41,bads,36,0.5850478497223558
41,bads,37,0.5850478497223558
41,bads,38,0.5850478497223558
41,bads,39,0.5850478497223558
41,bads,40,0.5850478497223558
41,bads,41,0.5850478497223558
41,bads,42,0.6112067403823886
41,bads,43,0.6112067403823886
41,bads,44,0.6112067403823886
41,bads,45,0.6112067403823886
41,bads,46,0.6112067403823886
41,bads,47,0.7186287623641716
53,random,0,0.26163278857934624
53,random,1,0.4662785488731085
53,random,2,0.4662785488731085
53,random,3,0.4662785488731085
53,random,4,0.4662785488731085
53,random,5,0.4662785488731085
53,random,6,0.4662785488731085
53,random,7,0.4662785488731085
53,random,8,0.4662785488731085
53,random,9,0.4662785488731085
53,random,10,0.6590534282658158
53,random,11,0.6590534282658158
53,random,12,0.6590534282658158
53,random,13,0.6590534282658158
53,random,14,0.6590534282658158
53,random,15,0.6590534282658158
53,random,16,0.6590534282658158
53,random,17,0.6590534282658158
53,random,18,0.6590534282658158
53,random,19,0.6590534282658158
53,random,20,0.6590534282658158
53,random,21,0.6590534282658158
53,random,22,0.6590534282658158
53,random,23,0.6590534282658158
53,random,24,0.6590534282658158
53,random,25,0.6590534282658158
53,random,26,0.6590534282658158
53,random,27,0.6590534282658158
53,random,28,0.6590534282658158
53,random,29,0.6590534282658158
53,random,30,0.6590534282658158
53,random,31,0.6590534282658158
53,random,32,0.6590534282658158
53,random,33,0.6590534282658158
53,random,34,0.6590534282658158
53,random,35,0.6590534282658158
53,random,36,0.6590534282658158
53,random,37,0.6590534282658158
53,random,38,0.6590534282658158
53,random,39,0.6590534282658158
53,random,40,0.720331947570482
53,random,41,0.720331947570482
53,random,42,0.720331947570482
53,random,43,0.720331947570482
53,random,44,0.720331947570482
53,random,45,0.720331947570482
53,random,46,0.720331947570482
53,random,47,0.720331947570482
53,greedy,0,0.26163278857934624
53,greedy,1,0.4662785488731085
53,greedy,2,0.4662785488731085
53,greedy,3,0.4662785488731085
53,greedy,4,0.4662785488731085
53,greedy,5,0.4662785488731085
53,greedy,6,0.4662785488731085
53,greedy,7,0.4662785488731085
53,greedy,8,0.4662785488731085
53,greedy,9,0.4662785488731085
53,greedy,10,0.4662785488731085
53,greedy,11,0.4662785488731085
53,greedy,12,0.4662785488731085
53,greedy,13,0.4662785488731085
53,greedy,14,0.4662785488731085
53,greedy,15,0.4662785488731085
53,greedy,16,0.4662785488731085
53,greedy,17,0.4662785488731085
53,greedy,18,0.4662785488731085
53,greedy,19,0.4662785488731085
53,greedy,20,0.4662785488731085
53,greedy,21,0.5419795825383106
53,greedy,22,0.5419795825383106
53,greedy,23,0.5419795825383106
53,greedy,24,0.5419795825383106
53,greedy,25,0.5419795825383106
53,greedy,26,0.5419795825383106
53,greedy,27,0.5419795825383106
53,greedy,28,0.5419795825383106
53,greedy,29,0.5419795825383106
53,greedy,30,0.5419795825383106
53,greedy,31,0.5419795825383106
53,greedy,32,0.5419795825383106
53,greedy,33,0.5419795825383106
53,greedy,34,0.5419795825383106
53,greedy,35,0.5419795825383106
53,greedy,36,0.5419795825383106
53,greedy,37,0.5419795825383106
53,greedy,38,0.5419795825383106
53,greedy,39,0.5419795825383106
53,greedy,40,0.6236275625839384
53,greedy,41,0.6236275625839384
53,greedy,42,0.6236275625839384
53,greedy,43,0.6236275625839384
53,greedy,44,0.6236275625839384
53,greedy,45,0.6236275625839384
53,greedy,46,0.6236275625839384
53,greedy,47,0.6236275625839384
53,bads,0,0.26163278857934624
53,bads,1,0.4662785488731085
53,bads,2,0.4662785488731085
53,bads,3,0.4662785488731085
53,bads,4,0.4662785488731085
53,bads,5,0.4662785488731085
53,bads,6,0.4662785488731085
53,bads,7,0.4662785488731085
53,bads,8,0.4662785488731085
53,bads,9,0.4662785488731085
53,bads,10,0.4662785488731085
53,bads,11,0.4662785488731085
53,bads,12,0.4662785488731085
53,bads,13,0.4662785488731085
53,bads,14,0.4662785488731085
53,bads,15,0.4662785488731085
53,bads,16,0.4662785488731085
53,bads,17,0.4662785488731085
53,bads,18,0.4662785488731085
53,bads,19,0.4662785488731085
53,bads,20,0.4662785488731085
53,bads,21,0.4662785488731085
53,bads,22,0.4662785488731085
53,bads,23,0.4662785488731085
53,bads,24,0.4662785488731085
53,bads,25,0.4662785488731085
53,bads,26,0.4662785488731085
53,bads,27,0.4662785488731085
53,bads,28,0.4662785488731085
53,bads,29,0.4662785488731085
53,bads,30,0.4662785488731085
53,bads,31,0.4662785488731085
53,bads,32,0.4662785488731085
53,bads,33,0.4662785488731085
53,bads,34,0.4662785488731085
53,bads,35,0.4662785488731085
53,bads,36,0.4662785488731085
53,bads,37,0.4662785488731085
53,bads,38,0.4662785488731085
53,bads,39,0.4662785488731085
53,bads,40,0.4662785488731085
53,bads,41,0.4662785488731085
53,bads,42,0.4662785488731085
53,bads,43,0.4662785488731085
53,bads,44,0.4662785488731085
53,bads,45,0.4662785488731085
53,bads,46,0.5554489237029951
53,bads,47,0.5554489237029951
67,random,0,0.21515768170913782
67,random,1,0.775674405757269
67,random,2,0.775674405757269
67,random,3,0.775674405757269
67,random,4,0.775674405757269
67,random,5,0.775674405757269
67,random,6,0.775674405757269
67,random,7,0.775674405757269
67,random,8,0.775674405757269
67,random,9,0.775674405757269
67,random,10,0.775674405757269
67,random,11,0.775674405757269
67,random,12,0.775674405757269
67,random,13,0.775674405757269
67,random,14,0.775674405757269
67,random,15,0.775674405757269
67,random,16,0.775674405757269
67,random,17,0.775674405757269
67,random,18,0.775674405757269
67,random,19,0.775674405757269
67,random,20,0.775674405757269
67,random,21,0.775674405757269
67,random,22,0.775674405757269
67,random,23,0.775674405757269
67,random,24,0.775674405757269
67,random,25,0.775674405757269
67,random,26,0.775674405757269
67,random,27,0.775674405757269
67,random,28,0.775674405757269
67,random,29,0.775674405757269
