seed,policy,query_number,candidate_index,observed_usable_success_q25,best_so_far_usable_success_q25
1705,random,14,77,0.060815763544122776,0.0739034419031573
1705,random,15,112,0.05222115436837639,0.0739034419031573
1705,random,16,81,0.06625514465764888,0.0739034419031573
1705,random,17,65,0.06012046328524912,0.0739034419031573
1705,random,18,119,0.05454156578206301,0.0739034419031573
1705,random,19,95,0.05264207292372175,0.0739034419031573
1705,random,20,13,0.06086823037244516,0.0739034419031573
1705,random,21,38,0.060042471672859685,0.0739034419031573
1705,random,22,14,0.06099762949891767,0.0739034419031573
1705,random,23,10,0.06084184450523418,0.0739034419031573
1705,random,24,107,0.06729365074682482,0.0739034419031573
1705,random,25,124,0.06663576603410386,0.0739034419031573
1705,random,26,21,0.0738720832553341,0.0739034419031573
1705,random,27,126,0.061355165321289415,0.0739034419031573
1705,random,28,125,0.05768655830461798,0.0739034419031573
1705,random,29,122,0.0657454374018894,0.0739034419031573
1705,random,30,11,0.07391158193915807,0.07391158193915807
1705,random,31,29,0.06569957556438927,0.07391158193915807
1705,random,32,76,0.06265178968565678,0.07391158193915807
1705,greedy,1,0,0.06535429295607866,0.06535429295607866
1705,greedy,2,61,0.0735968881752212,0.0735968881752212
1705,greedy,3,96,0.0739034419031573,0.0739034419031573
1705,greedy,4,12,0.06676704360320085,0.0739034419031573
1705,greedy,5,28,0.06679393209134533,0.0739034419031573
1705,greedy,6,11,0.07391158193915807,0.07391158193915807
1705,greedy,7,88,0.07513113562546321,0.07513113562546321
1705,greedy,8,91,0.07076988563483672,0.07513113562546321
1705,greedy,9,127,0.0724414148389457,0.07513113562546321
1705,greedy,10,66,0.0708219131279328,0.07513113562546321
1705,greedy,11,26,0.07311819237872082,0.07513113562546321
1705,greedy,12,51,0.06726418064640036,0.07513113562546321
1705,greedy,13,123,0.06707507643262497,0.07513113562546321
1705,greedy,14,50,0.0645503009533135,0.07513113562546321
1705,greedy,15,24,0.07174860020708546,0.07513113562546321
1705,greedy,16,85,0.07227747086298206,0.07513113562546321
1705,greedy,17,90,0.06704636918700733,0.07513113562546321
1705,greedy,18,32,0.06978833422410984,0.07513113562546321
1705,greedy,19,57,0.06872898113377972,0.07513113562546321
1705,greedy,20,98,0.07508728167964929,0.07513113562546321
1705,greedy,21,104,0.06398813728374891,0.07513113562546321
1705,greedy,22,70,0.06382567563848063,0.07513113562546321
1705,greedy,23,44,0.06636777270448513,0.07513113562546321
1705,greedy,24,82,0.06806310323953035,0.07513113562546321
1705,greedy,25,17,0.07271406160064672,0.07513113562546321
1705,greedy,26,105,0.06644549949361542,0.07513113562546321
1705,greedy,27,124,0.06663576603410386,0.07513113562546321
1705,greedy,28,121,0.06742622704766613,0.07513113562546321
1705,greedy,29,43,0.06856522734106499,0.07513113562546321
1705,greedy,30,114,0.06720468191985522,0.07513113562546321
1705,greedy,31,1,0.07229228971896472,0.07513113562546321
1705,greedy,32,23,0.062312837115127265,0.07513113562546321
1705,bads,1,0,0.06535429295607866,0.06535429295607866
1705,bads,2,61,0.0735968881752212,0.0735968881752212
1705,bads,3,96,0.0739034419031573,0.0739034419031573
1705,bads,4,12,0.06676704360320085,0.0739034419031573
1705,bads,5,74,0.07365759551274981,0.0739034419031573
1705,bads,6,26,0.07311819237872082,0.0739034419031573
1705,bads,7,50,0.0645503009533135,0.0739034419031573
1705,bads,8,87,0.0629874385465481,0.0739034419031573
1705,bads,9,17,0.07271406160064672,0.0739034419031573
1705,bads,10,20,0.06813714133961755,0.0739034419031573
1705,bads,11,14,0.06099762949891767,0.0739034419031573
1705,bads,12,99,0.0726656245987151,0.0739034419031573
1705,bads,13,33,0.0727689263634826,0.0739034419031573
1705,bads,14,106,0.0708894617906463,0.0739034419031573
1705,bads,15,34,0.0722818705471274,0.0739034419031573
1705,bads,16,7,0.05441627179530494,0.0739034419031573
1705,bads,17,4,0.07193570760756278,0.0739034419031573
1705,bads,18,47,0.07265603027320275,0.0739034419031573
1705,bads,19,21,0.0738720832553341,0.0739034419031573
1705,bads,20,72,0.0692138052312588,0.0739034419031573
1705,bads,21,98,0.07508728167964929,0.07508728167964929
1705,bads,22,118,0.06908145677520136,0.07508728167964929
1705,bads,23,83,0.07180843177875626,0.07508728167964929
1705,bads,24,6,0.06856724281519602,0.07508728167964929
1705,bads,25,88,0.07513113562546321,0.07513113562546321
1705,bads,26,11,0.07391158193915807,0.07513113562546321
1705,bads,27,127,0.0724414148389457,0.07513113562546321
1705,bads,28,32,0.06978833422410984,0.07513113562546321
1705,bads,29,91,0.07076988563483672,0.07513113562546321
1705,bads,30,1,0.07229228971896472,0.07513113562546321
1705,bads,31,85,0.07227747086298206,0.07513113562546321
1705,bads,32,24,0.07174860020708546,0.07513113562546321
1706,catalog,1,0,0.07217253939880537,0.07217253939880537
1706,random,1,0,0.07217253939880537,0.07217253939880537
1706,random,2,37,0.059502971967667476,0.07217253939880537
1706,random,3,57,0.07798478256645701,0.07798478256645701
1706,random,4,126,0.06180921419843055,0.07798478256645701
1706,random,5,99,0.06889106885296706,0.07798478256645701
1706,random,6,114,0.06290816753458975,0.07798478256645701
